repeat,fold,test_auroc,test_auprc,test_acc,test_ppv,test_sensitivity,test_specificity,test_f1,test_sen_99spe,test_threshold_99spe,test_ppv_threshold_99spe,test_acc_99spe,test_f1_99spe,test_sen_98spe,test_threshold_98spe,test_ppv_threshold_98spe,test_acc_98spe,test_f1_98spe,test_sen_95spe,test_threshold_95spe,test_ppv_threshold_95spe,test_acc_95spe,test_f1_95spe
3,1,0.9738805970149254,0.9352728938561026,0.9195402298850575,0.782608695652174,0.9,0.9253731343283582,0.8372093023255814,0.0,inf,0.0,0.495,0.0,0.75,0.67335135,0.9375,0.8576865671641791,0.8333333333333334,0.75,0.67335135,0.9375,0.842910447761194,0.8333333333333334
3,2,0.9191576086956521,0.859953524286527,0.8505747126436781,0.7777777777777778,0.6086956521739131,0.9375,0.6829268292682927,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.5652173913043478,0.54033625,0.8666666666666667,0.7427649456521739,0.6842105263157895
3,3,0.9230769230769231,0.8417570606182341,0.8505747126436781,0.6956521739130435,0.7272727272727273,0.8923076923076924,0.7111111111111111,0.36363636363636365,0.86391413,1.0,0.6768181818181818,0.5333333333333333,0.36363636363636365,0.86391413,1.0,0.6718181818181819,0.5333333333333333,0.5454545454545454,0.71281075,0.8571428571428571,0.7331118881118881,0.6666666666666666
3,4,0.9442262372348782,0.870320057795317,0.9302325581395349,0.9333333333333333,0.7368421052631579,0.9850746268656716,0.8235294117647058,0.3684210526315789,0.8516118,1.0,0.6792105263157895,0.5384615384615384,0.3684210526315789,0.8516118,1.0,0.6742105263157895,0.5384615384615384,0.7368421052631579,0.37698552,0.7777777777777778,0.8150628436763551,0.7567567567567568
3,5,0.8798507462686567,0.793789906063695,0.8390804597701149,0.6363636363636364,0.7,0.8805970149253731,0.6666666666666666,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.5,0.64169264,0.7692307692307693,0.7037313432835821,0.6060606060606061
4,1,0.9775541795665635,0.9307564920927558,0.9080459770114943,0.7894736842105263,0.7894736842105263,0.9411764705882353,0.7894736842105263,0.0,inf,0.0,0.495,0.0,0.6842105263157895,0.65880084,0.9285714285714286,0.8248993808049536,0.7878787878787878,0.7368421052631579,0.5822647,0.8235294117647058,0.8224651702786377,0.7777777777777778
4,2,0.9174825174825174,0.8759857358921528,0.8735632183908046,1.0,0.5,1.0,0.6666666666666666,0.5454545454545454,0.42325503,1.0,0.7677272727272727,0.7058823529411765,0.5454545454545454,0.42325503,1.0,0.7627272727272727,0.7058823529411765,0.7272727272727273,0.34731433,0.8888888888888888,0.8240209790209789,0.8
4,3,0.9062049062049061,0.8110471985416703,0.8620689655172413,0.7647058823529411,0.6190476190476191,0.9393939393939394,0.6842105263157895,0.3333333333333333,0.8820213,1.0,0.6616666666666666,0.5,0.3333333333333333,0.8820213,1.0,0.6566666666666666,0.5,0.42857142857142855,0.8168051,0.8181818181818182,0.6748917748917749,0.5625
4,4,0.9194139194139195,0.8200282468704485,0.872093023255814,0.7272727272727273,0.7619047619047619,0.9076923076923077,0.7441860465116279,0.23809523809523808,0.9467661,1.0,0.6140476190476191,0.38461538461538464,0.23809523809523808,0.9467661,1.0,0.6090476190476191,0.38461538461538464,0.6190476190476191,0.61186713,0.8666666666666667,0.7699084249084249,0.7222222222222222
4,5,0.948051948051948,0.8868494027214728,0.9195402298850575,0.8888888888888888,0.7619047619047619,0.9696969696969697,0.8205128205128205,0.42857142857142855,0.6894228,1.0,0.7092857142857143,0.6,0.42857142857142855,0.6894228,1.0,0.7042857142857143,0.6,0.7142857142857143,0.5499746,0.9375,0.8249458874458875,0.8108108108108109
5,1,0.9643962848297214,0.8678870836765573,0.896551724137931,0.7083333333333334,0.8947368421052632,0.8970588235294118,0.7906976744186046,0.21052631578947367,0.96576357,1.0,0.6002631578947368,0.34782608695652173,0.21052631578947367,0.96576357,1.0,0.5952631578947368,0.34782608695652173,0.7368421052631579,0.69858944,0.875,0.8294504643962848,0.8
5,2,0.916083916083916,0.8143176306421311,0.8505747126436781,0.8461538461538461,0.5,0.9692307692307692,0.6285714285714286,0.2727272727272727,0.8047867,1.0,0.6313636363636363,0.42857142857142855,0.2727272727272727,0.8047867,1.0,0.6263636363636363,0.42857142857142855,0.5,0.48912916,0.8461538461538461,0.7103846153846154,0.6285714285714286
5,3,0.9160839160839161,0.8608385237692373,0.8735632183908046,0.7894736842105263,0.6818181818181818,0.9384615384615385,0.7317073170731707,0.5,0.8012872,1.0,0.745,0.6666666666666666,0.5,0.8012872,1.0,0.74,0.6666666666666666,0.6818181818181818,0.5931202,0.8333333333333334,0.793986013986014,0.75
5,4,0.891053391053391,0.796743135379232,0.8505747126436781,0.75,0.5714285714285714,0.9393939393939394,0.6486486486486487,0.42857142857142855,0.6145017,1.0,0.7092857142857143,0.6,0.42857142857142855,0.6145017,1.0,0.7042857142857143,0.6,0.5238095238095238,0.52055454,0.7857142857142857,0.7153138528138528,0.6285714285714286
5,5,0.956060606060606,0.9001264007715624,0.8837209302325582,0.7272727272727273,0.8,0.9090909090909091,0.7619047619047619,0.0,inf,0.0,0.495,0.0,0.0,inf,0.0,0.49,0.0,0.7,0.64232653,0.875,0.8106060606060606,0.7777777777777778
6,1,0.8852813852813852,0.7628989431929907,0.8505747126436781,0.6818181818181818,0.7142857142857143,0.8939393939393939,0.6976744186046512,0.19047619047619047,0.9198604,1.0,0.5902380952380952,0.32,0.19047619047619047,0.9198604,1.0,0.5852380952380952,0.32,0.38095238095238093,0.8732419,0.8,0.651082251082251,0.5161290322580645
6,2,0.9835820895522388,0.9535158730158731,0.9425287356321839,1.0,0.75,1.0,0.8571428571428571,0.0,inf,0.0,0.495,0.0,0.75,0.38498372,0.9375,0.8576865671641791,0.8333333333333334,0.8,0.3737829,0.8888888888888888,0.860820895522388,0.8421052631578947
6,3,0.9083916083916085,0.8149663748331608,0.8850574712643678,0.8,0.7272727272727273,0.9384615384615385,0.7619047619047619,0.3181818181818182,0.7827443,1.0,0.6540909090909091,0.4827586206896552,0.3181818181818182,0.7827443,1.0,0.649090909090909,0.4827586206896552,0.5454545454545454,0.61824846,0.8571428571428571,0.7331118881118881,0.6666666666666666
6,4,0.9272727272727272,0.8551332778779142,0.896551724137931,1.0,0.5909090909090909,1.0,0.7428571428571429,0.0,inf,0.0,0.495,0.0,0.5909090909090909,0.41375932,0.9285714285714286,0.7779160839160839,0.7222222222222222,0.6363636363636364,0.33762866,0.8235294117647058,0.7712587412587413,0.717948717948718
6,5,0.9465828750981933,0.7980036411472684,0.9069767441860465,0.8235294117647058,0.7368421052631579,0.9552238805970149,0.7777777777777778,0.0,inf,0.0,0.495,0.0,0.21052631578947367,0.91782135,0.8,0.5879497250589159,0.3333333333333333,0.3684210526315789,0.7923253,0.7777777777777778,0.6450314218381775,0.5
7,1,0.9589783281733746,0.8941212838618622,0.9080459770114943,0.8235294117647058,0.7368421052631579,0.9558823529411765,0.7777777777777778,0.5789473684210527,0.64335805,1.0,0.7844736842105263,0.7333333333333333,0.5789473684210527,0.64335805,1.0,0.7794736842105263,0.7333333333333333,0.7368421052631579,0.44846025,0.7777777777777778,0.8154798761609907,0.7567567567567568
